1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,0.001,
1.000,0.001,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.003,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.003,
0.000,0.000,0.000,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.004,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,
0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,
0.000,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,
0.000,0.000,0.000,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
